"project","external_id","sra.study_title","sra.experiment_title","sra.sample_attributes","sra.experiment_attributes"
"SRP165679","SRR8052829","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3427989: PSO_029_lesional; Homo sapiens; RNA-Seq","skin type;;lesional|source_name;;skin biopsy","GEO Accession;;GSM3427989"
"SRP165679","SRR8052830","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3427990: PSO_029_non-lesional; Homo sapiens; RNA-Seq","skin type;;non-lesional|source_name;;skin biopsy","GEO Accession;;GSM3427990"
"SRP165679","SRR8052831","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3427991: PSO_030_lesional; Homo sapiens; RNA-Seq","skin type;;lesional|source_name;;skin biopsy","GEO Accession;;GSM3427991"
"SRP165679","SRR8052832","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3427992: PSO_030_non-lesional; Homo sapiens; RNA-Seq","skin type;;non-lesional|source_name;;skin biopsy","GEO Accession;;GSM3427992"
"SRP165679","SRR8052833","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3427993: PSO_031_lesional; Homo sapiens; RNA-Seq","skin type;;lesional|source_name;;skin biopsy","GEO Accession;;GSM3427993"
"SRP165679","SRR8052834","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3427994: PSO_031_non-lesional; Homo sapiens; RNA-Seq","skin type;;non-lesional|source_name;;skin biopsy","GEO Accession;;GSM3427994"
"SRP165679","SRR8052835","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3427995: PSO_033_lesional; Homo sapiens; RNA-Seq","skin type;;lesional|source_name;;skin biopsy","GEO Accession;;GSM3427995"
"SRP165679","SRR8052836","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3427996: PSO_033_non-lesional; Homo sapiens; RNA-Seq","skin type;;non-lesional|source_name;;skin biopsy","GEO Accession;;GSM3427996"
"SRP165679","SRR8052837","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3427997: PSO_034_lesional; Homo sapiens; RNA-Seq","skin type;;lesional|source_name;;skin biopsy","GEO Accession;;GSM3427997"
"SRP165679","SRR8052838","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3427998: PSO_035_lesional; Homo sapiens; RNA-Seq","skin type;;lesional|source_name;;skin biopsy","GEO Accession;;GSM3427998"
"SRP165679","SRR8052839","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3427999: PSO_035_non-lesional; Homo sapiens; RNA-Seq","skin type;;non-lesional|source_name;;skin biopsy","GEO Accession;;GSM3427999"
"SRP165679","SRR8052840","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3428000: PSO_036_lesional; Homo sapiens; RNA-Seq","skin type;;lesional|source_name;;skin biopsy","GEO Accession;;GSM3428000"
"SRP165679","SRR8052841","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3428001: PSO_036_non-lesional; Homo sapiens; RNA-Seq","skin type;;non-lesional|source_name;;skin biopsy","GEO Accession;;GSM3428001"
"SRP165679","SRR8052842","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3428002: PSO_037_lesional; Homo sapiens; RNA-Seq","skin type;;lesional|source_name;;skin biopsy","GEO Accession;;GSM3428002"
"SRP165679","SRR8052843","Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort","GSM3428003: PSO_037_non-lesional; Homo sapiens; RNA-Seq","skin type;;non-lesional|source_name;;skin biopsy","GEO Accession;;GSM3428003"
